impl,dtype,B,H,Hff,L,total_ms,total_std_ms,stage1_ms,stage2_ms,tflops,err_out_rel_l2,err_rel_max_norm,err_max_rel_elem
eager,fp16,8,2048,8192,2048,3.022585558891296,0.031242434100412466,3.0719231843948362,0.8431008040904999,545.6478930141391,inf,inf,inf
fused_single,fp16,8,2048,8192,2048,4.034403228759766,0.049544781823652906,2.97226243019104,0.7921247959136963,408.800843184683,inf,inf,inf
fused_batched,fp16,8,2048,8192,2048,3.704732799530029,0.05417461975628736,2.9458879947662355,0.8059327960014343,445.1785137846434,inf,inf,inf
fused_broadcast,fp16,8,2048,8192,2048,3.745961594581604,0.0017131142577686577,2.9296639919281007,0.7968192040920258,440.2787909116861,inf,inf,inf
eager,fp16,16,2048,8192,2048,6.134444856643677,0.0730191695156371,6.2756288051605225,1.671993613243103,537.7071536890004,inf,inf,inf
fused_single,fp16,16,2048,8192,2048,7.767187261581421,0.05230619119066929,5.720700740814209,1.4838559985160829,424.6755964856716,inf,inf,inf
fused_batched,fp16,16,2048,8192,2048,7.064294385910034,0.048280292941579574,6.033139228820801,1.6303040027618407,466.930552881125,inf,inf,inf
fused_broadcast,fp16,16,2048,8192,2048,7.082793521881103,0.03397231586493674,5.664812850952148,1.5174144148826598,465.711004159267,inf,inf,inf
eager,fp16,32,2048,8192,2048,12.034924793243409,0.2892603411581515,11.87191047668457,3.1585855722427367,548.1604480286986,inf,inf,inf
fused_single,fp16,32,2048,8192,2048,15.771203136444091,0.4249398816265668,11.42170238494873,3.160358428955078,418.2984461985334,inf,inf,inf
fused_batched,fp16,32,2048,8192,2048,14.668099117279052,0.598101414409925,10.978428840637207,3.1711552143096924,449.75628497660193,inf,inf,inf
fused_broadcast,fp16,32,2048,8192,2048,14.269302368164062,0.0385882092075307,11.119900703430176,3.185692811012268,462.3260196219951,inf,inf,inf
eager,bf16,1,1024,4096,128,0.04678400047123432,0.002844582738939708,0.04530240073800087,0.019247999787330626,68.85314294532395,0.0033028971788866593,0.00399113321688755,279.9253845214844
fused_single,bf16,1,1024,4096,128,0.033404800295829776,0.00035166043821547514,0.02286719996482134,0.019033600017428397,96.43001734700192,0.003301318098026903,0.00399113321688755,279.9253845214844
eager,bf16,2,1024,4096,128,0.05759680010378361,0.002719118977501685,0.0559008002281189,0.022128000296652316,111.85432059404958,0.0033391958452084415,0.003843725594607193,338.6944580078125
fused_single,bf16,2,1024,4096,128,0.07178239896893501,0.0008447294650021767,0.04598719999194145,0.022483200393617155,89.7497302477739,0.0033353167867989607,0.003843725594607193,314.2061462402344
fused_batched,bf16,2,1024,4096,128,0.04289599992334843,0.0003114411909730971,0.025609599985182287,0.02230079974979162,150.1876854604654,0.0033353167867989607,0.003843725594607193,314.2061462402344
fused_broadcast,bf16,2,1024,4096,128,0.039878400042653084,0.0007326381025667507,0.02326400000602007,0.021500800363719465,161.552392701545,0.0033476702311122596,0.003587296464409295,130.72158813476562
eager,bf16,4,1024,4096,128,0.07576639950275421,0.0014561504555123317,0.07567360028624534,0.027174399979412556,170.0608973444966,0.0033222531314739488,0.003809125024059107,2439.4140625
